@0	7f7f
@1	7f7f
@2	7f7f
@3	7f7f
@4	7f7f
@5	7f7f
@6	7f7f
@7	7f7f
@8	7f7f
@9	0000
@a	0000
@b	0000
@c	7f7f
@d	7f7f
@e	7f7f
@f	0000
@10	0000
@11	0000
@12	7f7f
@13	7f7f
@14	7f7f
@15	7f7f
@16	7f7f
@17	7f7f
@18	0000
@19	0000
@1a	0000
@1b	0000
@1c	0000
@1d	0000
@1e	7f7f
@1f	7f7f
@20	7f7f
@21	0000
@22	0000
@23	0000
@24	7f7f
@25	7f7f
@26	7f00
@27	0000
@28	0000
@29	7f7f
@2a	7f7f
@2b	7f7f
@2c	7f7f
@2d	7f7f
@2e	7f7f
@2f	7f7f
@30	7f00
@31	0000
@32	0000
@33	7f7f
@34	7f7f
@35	7f7f
@36	7f7f
@37	0000
@38	0000
@39	0000
@3a	0000
@3b	0000
@3c	7f7f
@3d	7f7f
@3e	7f7f
@3f	7f7f
@40	7f7f
@41	7f7f
@42	7f7f
@43	7f7f
@44	7f7f
@45	7f7f
@46	7f7f
@47	7f7f
@48	0000
@49	0000
@4a	0000
