@0	ff02
@1	00ff
@2	0002
@3	0000
@4	0100
@5	0203
@6	0206
@7	fffb
@8	03fa
@9	05fd
@a	0301
@b	0101
@c	0405
@d	0500
@e	fdfd
@f	0602
@10	fbfc
@11	02fe
@12	fb02
@13	0302
@14	04fe
@15	ff00
@16	ffff
@17	0200
@18	0605
@19	0203
@1a	0003
@1b	0100
@1c	0001
@1d	0205
@1e	fbfc
@1f	fb01
@20	fcfd
@21	0500
@22	03fb
@23	fc00
@24	0301
@25	0502
@26	00fa
@27	fd04
@28	00fd
@29	0305
@2a	fdfe
@2b	0000
@2c	00fa
@2d	0100
@2e	fe06
@2f	0300
@30	0002
@31	0500
@32	00fd
@33	fcfd
@34	0604
@35	0000
@36	fffb
@37	01fd
@38	ff02
@39	0301
@3a	0405
@3b	0305
@3c	fb01
@3d	0004
@3e	fffa
@3f	02fc
@40	0203
@41	ff04
@42	05fc
@43	fd04
@44	fd00
@45	0504
@46	0000
@47	0000
@48	03ff
@49	ff01
@4a	0402
@4b	00fd
@4c	05fa
@4d	00fd
@4e	01ff
@4f	04fa
